,A_Properties,Num,A_SQFT
17381,"2121  JAMIESON AV, UNIT 1003",50641590,1606
17382,"2121  JAMIESON AV, UNIT 1004",50641600,966
17383,"2121  JAMIESON AV, UNIT 1005",50641610,781
17384,"2121  JAMIESON AV, UNIT 1006",50641620,1161
17385,"2121  JAMIESON AV, UNIT 1007",50641630,1102
17386,"2121  JAMIESON AV, UNIT 1008",50641640,981
17387,"2121  JAMIESON AV, UNIT 1009",50641650,1417
17388,"2121  JAMIESON AV, UNIT 1010",50641660,751
17389,"2121  JAMIESON AV, UNIT 1011",50641670,1221
17390,"2121  JAMIESON AV, UNIT 1101",50641680,1221
17391,"2121  JAMIESON AV, UNIT 1102",50641690,871
17392,"2121  JAMIESON AV, UNIT 1103",50641700,1607
17393,"2121  JAMIESON AV, UNIT 1104",50641710,1747
17394,"2121  JAMIESON AV, UNIT 1106",50641730,1161
17395,"2121  JAMIESON AV, UNIT 1107",50641740,1101
17396,"2121  JAMIESON AV, UNIT 1108",50641750,981
17397,"2121  JAMIESON AV, UNIT 1109",50641760,1417
17398,"2121  JAMIESON AV, UNIT 1110",50641770,750
17399,"2121  JAMIESON AV, UNIT 1111",50641780,1221
17400,"2121  JAMIESON AV, UNIT 1201",50641790,1221
17401,"2121  JAMIESON AV, UNIT 1202",50641800,871
17402,"2121  JAMIESON AV, UNIT 1203",50641810,1606
17403,"2121  JAMIESON AV, UNIT 1205",50641830,1747
17404,"2121  JAMIESON AV, UNIT 1206",50641840,1162
17405,"2121  JAMIESON AV, UNIT 1207",50641850,1101
17406,"2121  JAMIESON AV, UNIT 1208",50641860,981
17407,"2121  JAMIESON AV, UNIT 1209",50641870,1416
17408,"2121  JAMIESON AV, UNIT 1210",50641880,751
17409,"2121  JAMIESON AV, UNIT 1211",50641890,1221
17410,"2121  JAMIESON AV, UNIT 1401",50641900,1221
17411,"2121  JAMIESON AV, UNIT 1402",50641910,871
17412,"2121  JAMIESON AV, UNIT 1403",50641920,1607
17413,"2121  JAMIESON AV, UNIT 1404",50641930,966
17414,"2121  JAMIESON AV, UNIT 1405",50641940,781
17415,"2121  JAMIESON AV, UNIT 1406",50641950,1161
17416,"2121  JAMIESON AV, UNIT 1407",50641960,1101
17417,"2121  JAMIESON AV, UNIT 1408",50641970,981
17418,"2121  JAMIESON AV, UNIT 1409",50641980,1417
17419,"2121  JAMIESON AV, UNIT 1410",50641990,751
17420,"2121  JAMIESON AV, UNIT 1411",50642000,1221
17421,"2121  JAMIESON AV, UNIT 1501",50642010,1221
17422,"2121  JAMIESON AV, UNIT 1502",50642020,871
17423,"2121  JAMIESON AV, UNIT 1503",50642030,1606
17424,"2121  JAMIESON AV, UNIT 1504",50642040,1747
17425,"2121  JAMIESON AV, UNIT 1506",50642060,1161
17426,"2121  JAMIESON AV, UNIT 1507",50642070,1101
17427,"2121  JAMIESON AV, UNIT 1508",50642080,981
17428,"2121  JAMIESON AV, UNIT 1509",50642090,1416
17429,"2121  JAMIESON AV, UNIT 1510",50642100,751
17430,"2121  JAMIESON AV, UNIT 1511",50642110,1221
17431,"2121  JAMIESON AV, UNIT 1601",50642120,1221
17432,"2121  JAMIESON AV, UNIT 1602",50642130,871
17433,"2121  JAMIESON AV, UNIT 1603",50642140,1607
17434,"2121  JAMIESON AV, UNIT 1604",50642150,1747
17435,"2121  JAMIESON AV, UNIT 1606",50642170,1161
17436,"2121  JAMIESON AV, UNIT 1607",50642180,1101
17437,"2121  JAMIESON AV, UNIT 1608",50642190,981
17438,"2121  JAMIESON AV, UNIT 1609",50642200,1416
17439,"2121  JAMIESON AV, UNIT 1610",50642210,751
17440,"2121  JAMIESON AV, UNIT 1611",50642220,1221
17441,"2121  JAMIESON AV, UNIT 1701",50642230,1221
17442,"2121  JAMIESON AV, UNIT 1702",50642240,871
17443,"2121  JAMIESON AV, UNIT 1703",50642250,1607
17444,"2121  JAMIESON AV, UNIT 1705",50642270,1746
17445,"2121  JAMIESON AV, UNIT 1706",50642280,1162
17446,"2121  JAMIESON AV, UNIT 1707",50642290,1101
17447,"2121  JAMIESON AV, UNIT 1708",50642300,981
17448,"2121  JAMIESON AV, UNIT 1709",50642310,1416
17449,"2121  JAMIESON AV, UNIT 1710",50642320,751
17450,"2121  JAMIESON AV, UNIT 1711",50642330,1221
17451,"2121  JAMIESON AV, UNIT 1801",50642340,1222
17452,"2121  JAMIESON AV, UNIT 1802",50642350,871
17453,"2121  JAMIESON AV, UNIT 1803",50642360,1977
17454,"2121  JAMIESON AV, UNIT 1805",50642370,781
17455,"2121  JAMIESON AV, UNIT 1806",50642380,1161
17456,"2121  JAMIESON AV, UNIT 1807",50642390,1101
17457,"2121  JAMIESON AV, UNIT 1809",50642400,1862
17458,"2121  JAMIESON AV, UNIT 1810",50642410,751
17459,"2121  JAMIESON AV, UNIT 1811",50642420,1221
17460,"2121  JAMIESON AV, UNIT 1901",50642430,1221
17461,"2121  JAMIESON AV, UNIT 1902",50642440,871
17462,"2121  JAMIESON AV, UNIT 1903",50642450,1977
17463,"2121  JAMIESON AV, UNIT 1905",50642460,781
17464,"2121  JAMIESON AV, UNIT 1906",50642470,1161
17465,"2121  JAMIESON AV, UNIT 1907",50642480,1102
17466,"2121  JAMIESON AV, UNIT 1909",50642490,1862
17467,"2121  JAMIESON AV, UNIT 1910",50642500,751
17468,"2121  JAMIESON AV, UNIT 1911",50642510,1221
17469,"2121  JAMIESON AV, UNIT 2001",50642520,1221
17470,"2121  JAMIESON AV, UNIT 2002",50642530,871
17471,"2121  JAMIESON AV, UNIT 2003",50642540,1977
17472,"2121  JAMIESON AV, UNIT 2005",50642550,781
17473,"2121  JAMIESON AV, UNIT 2006",50642560,1161
17474,"2121  JAMIESON AV, UNIT 2007",50642570,1101
17475,"2121  JAMIESON AV, UNIT 2009",50642580,1862
17476,"2121  JAMIESON AV, UNIT 2010",50642590,751
17477,"2121  JAMIESON AV, UNIT 2011",50642600,1221
17478,"2121  JAMIESON AV, UNIT 2101",50642610,1221
17479,"2121  JAMIESON AV, UNIT 2102",50642620,871
17480,"2121  JAMIESON AV, UNIT 2103",50642630,1977
17481,"2121  JAMIESON AV, UNIT 2105",50642640,781
17482,"2121  JAMIESON AV, UNIT 2106",50642650,1162
17483,"2121  JAMIESON AV, UNIT 2107",50642660,1101
17484,"2121  JAMIESON AV, UNIT 2109",50642670,1862
17485,"2121  JAMIESON AV, UNIT 2110",50642680,751
17486,"2121  JAMIESON AV, UNIT 2111",50642690,1221
17487,2131  JAMIESON AV,50640960,1246
17488,2133  JAMIESON AV,50640970,1246
17489,2151  JAMIESON AV,50636240,1
17490,"2151  JAMIESON AV, UNIT 105",50665030,1146
17491,"2151  JAMIESON AV, UNIT 305",50665040,1146
17492,"2151  JAMIESON AV, UNIT 307",50665060,1694
17493,"2151  JAMIESON AV, UNIT 308",50665070,1146
17494,"2151  JAMIESON AV, UNIT 310",50665080,1332
17495,"2151  JAMIESON AV, UNIT 311",50665090,1241
17496,"2151  JAMIESON AV, UNIT 312",50665100,1242
17497,"2151  JAMIESON AV, UNIT 314",50679610,1242
17498,"2151  JAMIESON AV, UNIT 315",50679620,1412
17499,"2151  JAMIESON AV, UNIT 402",50665110,965
17500,"2151  JAMIESON AV, UNIT 404",50665120,1003
17501,"2151  JAMIESON AV, UNIT 405",50665130,1146
17502,"2151  JAMIESON AV, UNIT 407",50665150,1694
17503,"2151  JAMIESON AV, UNIT 408",50665160,1147
17504,"2151  JAMIESON AV, UNIT 409",50665170,1151
17505,"2151  JAMIESON AV, UNIT 410",50665180,1151
17506,"2151  JAMIESON AV, UNIT 411",50665190,1152
17507,"2151  JAMIESON AV, UNIT 501",50665200,1220
17508,"2151  JAMIESON AV, UNIT 502",50665210,965
17509,"2151  JAMIESON AV, UNIT 503",50665220,730
17510,"2151  JAMIESON AV, UNIT 504",50665230,1003
17511,"2151  JAMIESON AV, UNIT 505",50665240,1146
17512,"2151  JAMIESON AV, UNIT 506",50665250,931
17513,"2151  JAMIESON AV, UNIT 507",50665260,762
17514,"2151  JAMIESON AV, UNIT 508",50665270,1146
17515,"2151  JAMIESON AV, UNIT 509",50665280,1480
17516,"2151  JAMIESON AV, UNIT 510",50665290,1622
17517,"2151  JAMIESON AV, UNIT 511",50665300,828
17518,"2151  JAMIESON AV, UNIT 601",50665310,1220
17519,"2151  JAMIESON AV, UNIT 602",50665320,965
17520,"2151  JAMIESON AV, UNIT 603",50665330,729
17521,"2151  JAMIESON AV, UNIT 604",50665340,1003
17522,"2151  JAMIESON AV, UNIT 605",50665350,1146
17523,"2151  JAMIESON AV, UNIT 607",50665370,1693
17524,"2151  JAMIESON AV, UNIT 608",50665380,1146
17525,"2151  JAMIESON AV, UNIT 609",50665390,1481
17526,"2151  JAMIESON AV, UNIT 610",50665400,1663
17527,"2151  JAMIESON AV, UNIT 611",50665410,828
17528,"2151  JAMIESON AV, UNIT 701",50665420,2185
17529,"2151  JAMIESON AV, UNIT 703",50665440,729
17530,"2151  JAMIESON AV, UNIT 704",50665450,1003
17531,"2151  JAMIESON AV, UNIT 705",50665460,1146
17532,"2151  JAMIESON AV, UNIT 706",50665470,931
17533,"2151  JAMIESON AV, UNIT 707",50665480,762
17534,"2151  JAMIESON AV, UNIT 708",50665490,1146
17535,"2151  JAMIESON AV, UNIT 709",50665500,1481
17536,"2151  JAMIESON AV, UNIT 710",50665510,1662
17537,"2151  JAMIESON AV, UNIT 711",50665520,828
17538,"2151  JAMIESON AV, UNIT 801",50665530,1220
17539,"2151  JAMIESON AV, UNIT 802",50665540,965
17540,"2151  JAMIESON AV, UNIT 803",50665550,729
17541,"2151  JAMIESON AV, UNIT 804",50665560,1003
17542,"2151  JAMIESON AV, UNIT 805",50665570,1146
17543,"2151  JAMIESON AV, UNIT 806",50665580,931
17544,"2151  JAMIESON AV, UNIT 807",50665590,762
17545,"2151  JAMIESON AV, UNIT 808",50665600,1147
17546,"2151  JAMIESON AV, UNIT 809",50665610,1480
17547,"2151  JAMIESON AV, UNIT 810",50665620,1662
17548,"2151  JAMIESON AV, UNIT 811",50665630,828
17549,"2151  JAMIESON AV, UNIT 901",50665640,2186
17550,"2151  JAMIESON AV, UNIT 903",50665660,729
17551,"2151  JAMIESON AV, UNIT 904",50665670,1003
17552,"2151  JAMIESON AV, UNIT 905",50665680,1147
17553,"2151  JAMIESON AV, UNIT 906",50665690,931
17554,"2151  JAMIESON AV, UNIT 907",50665700,762
17555,"2151  JAMIESON AV, UNIT 908",50665710,1146
17556,"2151  JAMIESON AV, UNIT 909",50665720,1481
17557,"2151  JAMIESON AV, UNIT 910",50665730,1663
17558,"2151  JAMIESON AV, UNIT 911",50665740,828
17559,"2151  JAMIESON AV, UNIT 1001",50665750,1220
17560,"2151  JAMIESON AV, UNIT 1002",50665760,965
17561,"2151  JAMIESON AV, UNIT 1003",50665770,728
17562,"2151  JAMIESON AV, UNIT 1004",50665780,1003
17563,"2151  JAMIESON AV, UNIT 1005",50665790,1146
17564,"2151  JAMIESON AV, UNIT 1006",50665800,931
17565,"2151  JAMIESON AV, UNIT 1007",50665810,762
17566,"2151  JAMIESON AV, UNIT 1008",50665820,1146
17567,"2151  JAMIESON AV, UNIT 1009",50665830,1480
17568,"2151  JAMIESON AV, UNIT 1010",50665840,1662
17569,"2151  JAMIESON AV, UNIT 1011",50665850,828
17570,"2151  JAMIESON AV, UNIT 1101",50665860,2185
17571,"2151  JAMIESON AV, UNIT 1103",50665880,729
17572,"2151  JAMIESON AV, UNIT 1104",50665890,1003
17573,"2151  JAMIESON AV, UNIT 1105",50665900,1146
17574,"2151  JAMIESON AV, UNIT 1107",50665920,1693
17575,"2151  JAMIESON AV, UNIT 1108",50665930,1146
17576,"2151  JAMIESON AV, UNIT 1109",50665940,1480
17577,"2151  JAMIESON AV, UNIT 1110",50665950,1662
17578,"2151  JAMIESON AV, UNIT 1111",50665960,828
17579,"2151  JAMIESON AV, UNIT 1201",50665970,2185
17580,"2151  JAMIESON AV, UNIT 1203",50665990,729
17581,"2151  JAMIESON AV, UNIT 1204",50666000,1003
17582,"2151  JAMIESON AV, UNIT 1205",50666010,1146
17583,"2151  JAMIESON AV, UNIT 1207",50666030,1693
17584,"2151  JAMIESON AV, UNIT 1208",50666040,1146
17585,"2151  JAMIESON AV, UNIT 1209",50666050,1480
17586,"2151  JAMIESON AV, UNIT 1210",50666060,1662
17587,"2151  JAMIESON AV, UNIT 1211",50666070,828
17588,"2151  JAMIESON AV, UNIT 1401",50666080,2185
17589,"2151  JAMIESON AV, UNIT 1403",50666100,729
17590,"2151  JAMIESON AV, UNIT 1404",50666110,1003
17591,"2151  JAMIESON AV, UNIT 1405",50666120,1146
17592,"2151  JAMIESON AV, UNIT 1407",50666140,1693
17593,"2151  JAMIESON AV, UNIT 1408",50666150,1146
17594,"2151  JAMIESON AV, UNIT 1409",50666160,1480
17595,"2151  JAMIESON AV, UNIT 1410",50666170,1662
17596,"2151  JAMIESON AV, UNIT 1411",50666180,828
17597,"2151  JAMIESON AV, UNIT 1501",50666190,1221
17598,"2151  JAMIESON AV, UNIT 1502",50666200,964
17599,"2151  JAMIESON AV, UNIT 1503",50666210,729
17600,"2151  JAMIESON AV, UNIT 1504",50666220,1004
17601,"2151  JAMIESON AV, UNIT 1505",50666230,1146
17602,"2151  JAMIESON AV, UNIT 1506",50666240,931
17603,"2151  JAMIESON AV, UNIT 1507",50666250,762
17604,"2151  JAMIESON AV, UNIT 1508",50666260,1146
17605,"2151  JAMIESON AV, UNIT 1509",50666270,1481
17606,"2151  JAMIESON AV, UNIT 1510",50666280,1663
17607,"2151  JAMIESON AV, UNIT 1511",50666290,828
17608,"2151  JAMIESON AV, UNIT 1601",50666300,2185
17609,"2151  JAMIESON AV, UNIT 1603",50666320,729
17610,"2151  JAMIESON AV, UNIT 1604",50666330,1003
17611,"2151  JAMIESON AV, UNIT 1605",50666340,1146
17612,"2151  JAMIESON AV, UNIT 1607",50666360,1693
17613,"2151  JAMIESON AV, UNIT 1608",50666370,1146
17614,"2151  JAMIESON AV, UNIT 1609",50666380,1480
17615,"2151  JAMIESON AV, UNIT 1610",50666390,1663
17616,"2151  JAMIESON AV, UNIT 1611",50666400,828
17617,"2151  JAMIESON AV, UNIT 1701",50666410,2185
17618,"2151  JAMIESON AV, UNIT 1703",50666430,729
17619,"2151  JAMIESON AV, UNIT 1704",50666440,1003
17620,"2151  JAMIESON AV, UNIT 1705",50666450,1146
17621,"2151  JAMIESON AV, UNIT 1707",50666470,1693
17622,"2151  JAMIESON AV, UNIT 1708",50666480,1147
17623,"2151  JAMIESON AV, UNIT 1709",50666490,1481
17624,"2151  JAMIESON AV, UNIT 1710",50666500,1663
17625,"2151  JAMIESON AV, UNIT 1711",50666510,828
17626,"2151  JAMIESON AV, UNIT 1801",50666520,2185
17627,"2151  JAMIESON AV, UNIT 1803",50666540,729
17628,"2151  JAMIESON AV, UNIT 1804",50666550,1715
17629,"2151  JAMIESON AV, UNIT 1807",50666570,1693
17630,"2151  JAMIESON AV, UNIT 1808",50666580,794
17631,"2151  JAMIESON AV, UNIT 1809",50666590,1606
17632,"2151  JAMIESON AV, UNIT 1810",50666600,1663
17633,"2151  JAMIESON AV, UNIT 1901",50666620,2185
17634,"2151  JAMIESON AV, UNIT 1903",50666640,729
17635,"2151  JAMIESON AV, UNIT 1904",50666650,1715
17636,"2151  JAMIESON AV, UNIT 1907",50666670,1692
17637,"2151  JAMIESON AV, UNIT 1908",50666680,794
17638,"2151  JAMIESON AV, UNIT 1909",50666690,1605
17639,"2151  JAMIESON AV, UNIT 1910",50666700,1663
17640,"2151  JAMIESON AV, UNIT 1911",50666710,828
17641,"2151  JAMIESON AV, UNIT 2001",50666720,2185
17642,"2151  JAMIESON AV, UNIT 2003",50666740,729
17643,"2151  JAMIESON AV, UNIT 2004",50666750,1715
17644,"2151  JAMIESON AV, UNIT 2007",50666770,1693
17645,"2151  JAMIESON AV, UNIT 2008",50666780,794
17646,"2151  JAMIESON AV, UNIT 2009",50666790,1605
17647,"2151  JAMIESON AV, UNIT 2010",50666800,1663
17648,"2151  JAMIESON AV, UNIT 2011",50666810,828
17649,"2151  JAMIESON AV, UNIT 2101",50666820,2185
17650,"2151  JAMIESON AV, UNIT 2103",50666840,729
17651,"2151  JAMIESON AV, UNIT 2104",50666850,1714
17652,"2151  JAMIESON AV, UNIT 2107",50666870,1693
17653,"2151  JAMIESON AV, UNIT 2108",50666880,794
17654,"2151  JAMIESON AV, UNIT 2109",50666890,1606
17655,"2151  JAMIESON AV, UNIT 2110",50666900,1663
17656,"2151  JAMIESON AV, UNIT 2111",50666910,828
17657,2181  JAMIESON AV,50636260,1
17658,"2181  JAMIESON AV, UNIT 401",50679630,1229
17659,"2181  JAMIESON AV, UNIT 402",50679640,871
17660,"2181  JAMIESON AV, UNIT 403",50679650,1607
17661,"2181  JAMIESON AV, UNIT 404",50679660,966
17662,"2181  JAMIESON AV, UNIT 405",50679670,780
17663,"2181  JAMIESON AV, UNIT 406",50679680,989
17664,"2181  JAMIESON AV, UNIT 407",50679690,1088
17665,"2181  JAMIESON AV, UNIT 408",50679700,981
17666,"2181  JAMIESON AV, UNIT 409",50679710,1447
17667,"2181  JAMIESON AV, UNIT 410",50679720,1166
17668,"2181  JAMIESON AV, UNIT 411",50679730,839
17669,"2181  JAMIESON AV, UNIT 501",50679740,1229
17670,"2181  JAMIESON AV, UNIT 502",50679750,871
17671,"2181  JAMIESON AV, UNIT 503",50679760,1606
17672,"2181  JAMIESON AV, UNIT 504",50679770,966
17673,"2181  JAMIESON AV, UNIT 505",50679780,781
17674,"2181  JAMIESON AV, UNIT 506",50679790,1163
17675,"2181  JAMIESON AV, UNIT 507",50679800,1089
17676,"2181  JAMIESON AV, UNIT 508",50679810,981
17677,"2181  JAMIESON AV, UNIT 509",50679820,1447
17678,"2181  JAMIESON AV, UNIT 510",50679830,1166
17679,"2181  JAMIESON AV, UNIT 511",50679840,839
17680,"2181  JAMIESON AV, UNIT 601",50679850,1230
17681,"2181  JAMIESON AV, UNIT 602",50679860,871
17682,"2181  JAMIESON AV, UNIT 603",50679870,1606
17683,"2181  JAMIESON AV, UNIT 604",50679880,966
17684,"2181  JAMIESON AV, UNIT 605",50679890,780
17685,"2181  JAMIESON AV, UNIT 606",50679900,1163
17686,"2181  JAMIESON AV, UNIT 607",50679910,1088
17687,"2181  JAMIESON AV, UNIT 608",50679920,981
17688,"2181  JAMIESON AV, UNIT 609",50679930,1447
17689,"2181  JAMIESON AV, UNIT 610",50679940,2005
17690,"2181  JAMIESON AV, UNIT 701",50679960,1229
17691,"2181  JAMIESON AV, UNIT 702",50679970,871
17692,"2181  JAMIESON AV, UNIT 703",50679980,1606
17693,"2181  JAMIESON AV, UNIT 705",50680000,1747
17694,"2181  JAMIESON AV, UNIT 706",50680010,1163
17695,"2181  JAMIESON AV, UNIT 707",50680020,1088
17696,"2181  JAMIESON AV, UNIT 709",50680040,2427
17697,"2181  JAMIESON AV, UNIT 710",50680050,2005
17698,"2181  JAMIESON AV, UNIT 801",50680070,1229
17699,"2181  JAMIESON AV, UNIT 802",50680080,872
17700,"2181  JAMIESON AV, UNIT 803",50680090,1607
17701,"2181  JAMIESON AV, UNIT 805",50680110,1746
17702,"2181  JAMIESON AV, UNIT 806",50680120,1164
17703,"2181  JAMIESON AV, UNIT 807",50680130,1088
17704,"2181  JAMIESON AV, UNIT 809",50680150,2427
17705,"2181  JAMIESON AV, UNIT 810",50680160,1167
17706,"2181  JAMIESON AV, UNIT 811",50680170,839
17707,"2181  JAMIESON AV, UNIT 901",50680180,1229
17708,"2181  JAMIESON AV, UNIT 902",50680190,871
17709,"2181  JAMIESON AV, UNIT 903",50680200,1607
17710,"2181  JAMIESON AV, UNIT 905",50680220,1747
17711,"2181  JAMIESON AV, UNIT 906",50680230,1163
17712,"2181  JAMIESON AV, UNIT 907",50680240,1088
17713,"2181  JAMIESON AV, UNIT 908",50680250,982
17714,"2181  JAMIESON AV, UNIT 909",50680260,1447
17715,"2181  JAMIESON AV, UNIT 910",50680270,2005
17716,"2181  JAMIESON AV, UNIT 1001",50680290,1229
17717,"2181  JAMIESON AV, UNIT 1002",50680300,871
17718,"2181  JAMIESON AV, UNIT 1003",50680310,1607
17719,"2181  JAMIESON AV, UNIT 1005",50680330,1747
17720,"2181  JAMIESON AV, UNIT 1006",50680340,1163
17721,"2181  JAMIESON AV, UNIT 1007",50680350,1088
17722,"2181  JAMIESON AV, UNIT 1009",50680370,2427
17723,"2181  JAMIESON AV, UNIT 1010",50680380,1166
17724,"2181  JAMIESON AV, UNIT 1011",50680390,839
17725,"2181  JAMIESON AV, UNIT 1101",50680400,1229
17726,"2181  JAMIESON AV, UNIT 1102",50680410,871
17727,"2181  JAMIESON AV, UNIT 1103",50680420,1607
17728,"2181  JAMIESON AV, UNIT 1105",50680440,1747
17729,"2181  JAMIESON AV, UNIT 1106",50680450,1163
17730,"2181  JAMIESON AV, UNIT 1107",50680460,1088
17731,"2181  JAMIESON AV, UNIT 1109",50680480,2427
17732,"2181  JAMIESON AV, UNIT 1110",50680490,1167
17733,"2181  JAMIESON AV, UNIT 1111",50680500,839
17734,"2181  JAMIESON AV, UNIT 1201",50680510,1229
17735,"2181  JAMIESON AV, UNIT 1202",50680520,871
17736,"2181  JAMIESON AV, UNIT 1203",50680530,1607
17737,"2181  JAMIESON AV, UNIT 1205",50680550,782
17738,"2181  JAMIESON AV, UNIT 1206",50680560,1163
17739,"2181  JAMIESON AV, UNIT 1207",50680570,1088
17740,"2181  JAMIESON AV, UNIT 1209",50680590,2427
17741,"2181  JAMIESON AV, UNIT 1210",50680600,1166
17742,"2181  JAMIESON AV, UNIT 1211",50680610,839
17743,"2181  JAMIESON AV, UNIT 1401",50680620,1229
17744,"2181  JAMIESON AV, UNIT 1402",50680630,871
17745,"2181  JAMIESON AV, UNIT 1403",50680640,1607
17746,"2181  JAMIESON AV, UNIT 1405",50680660,1746
17747,"2181  JAMIESON AV, UNIT 1406",50680670,1163
17748,"2181  JAMIESON AV, UNIT 1407",50680680,1088
17749,"2181  JAMIESON AV, UNIT 1408",50680690,981
17750,"2181  JAMIESON AV, UNIT 1409",50680700,1446
17751,"2181  JAMIESON AV, UNIT 1410",50680710,2005
17752,"2181  JAMIESON AV, UNIT 1501",50680730,1229
17753,"2181  JAMIESON AV, UNIT 1502",50680740,871
17754,"2181  JAMIESON AV, UNIT 1503",50680750,1607
17755,"2181  JAMIESON AV, UNIT 1505",50680770,1747
17756,"2181  JAMIESON AV, UNIT 1506",50680780,2251
17757,"2181  JAMIESON AV, UNIT 1508",50680800,981
17758,"2181  JAMIESON AV, UNIT 1509",50680810,1447
17759,"2181  JAMIESON AV, UNIT 1510",50680820,2005
17760,"2181  JAMIESON AV, UNIT 1601",50680840,1230
17761,"2181  JAMIESON AV, UNIT 1602",50680850,871
17762,"2181  JAMIESON AV, UNIT 1603",50680860,1606
17763,"2181  JAMIESON AV, UNIT 1605",50680880,1747
17764,"2181  JAMIESON AV, UNIT 1606",50680890,2252
17765,"2181  JAMIESON AV, UNIT 1608",50680910,982
17766,"2181  JAMIESON AV, UNIT 1609",50680920,1447
17767,"2181  JAMIESON AV, UNIT 1610",50680925,1166
17768,"2181  JAMIESON AV, UNIT 1611",50680930,840
17769,"2181  JAMIESON AV, UNIT 1701",50680940,1230
17770,"2181  JAMIESON AV, UNIT 1702",50680950,871
17771,"2181  JAMIESON AV, UNIT 1703",50680960,1606
17772,"2181  JAMIESON AV, UNIT 1704",50680970,1747
17773,"2181  JAMIESON AV, UNIT 1706",50680990,1163
17774,"2181  JAMIESON AV, UNIT 1707",50681000,1088
17775,"2181  JAMIESON AV, UNIT 1708",50681010,981
17776,"2181  JAMIESON AV, UNIT 1709",50681020,1446
17777,"2181  JAMIESON AV, UNIT 1710",50681030,1166
17778,"2181  JAMIESON AV, UNIT 1711",50681040,838
17779,"2181  JAMIESON AV, UNIT 1801",50681050,1230
17780,"2181  JAMIESON AV, UNIT 1802",50681060,871
17781,"2181  JAMIESON AV, UNIT 1803",50681070,1977
17782,"2181  JAMIESON AV, UNIT 1805",50681080,781
17783,"2181  JAMIESON AV, UNIT 1807",50681100,2251
17784,"2181  JAMIESON AV, UNIT 1809",50681110,1892
17785,"2181  JAMIESON AV, UNIT 1811",50681130,2006
17786,"2181  JAMIESON AV, UNIT 1901",50681140,1230
17787,"2181  JAMIESON AV, UNIT 1902",50681150,872
17788,"2181  JAMIESON AV, UNIT 1903",50681160,1977
17789,"2181  JAMIESON AV, UNIT 1905",50681170,781
17790,"2181  JAMIESON AV, UNIT 1906",50681180,1163
17791,"2181  JAMIESON AV, UNIT 1907",50681190,1088
17792,"2181  JAMIESON AV, UNIT 1909",50681200,1892
17793,"2181  JAMIESON AV, UNIT 1910",50681210,1166
17794,"2181  JAMIESON AV, UNIT 1911",50681220,839
17795,"2181  JAMIESON AV, UNIT 2001",50681230,1229
17796,"2181  JAMIESON AV, UNIT 2002",50681240,870
17797,"2181  JAMIESON AV, UNIT 2003",50681250,1976
17798,"2181  JAMIESON AV, UNIT 2005",50681260,781
17799,"2181  JAMIESON AV, UNIT 2006",50681270,1163
17800,"2181  JAMIESON AV, UNIT 2007",50681280,1088
17801,"2181  JAMIESON AV, UNIT 2009",50681290,1892
17802,"2181  JAMIESON AV, UNIT 2010",50681300,1166
17803,"2181  JAMIESON AV, UNIT 2011",50681310,839
17804,"2181  JAMIESON AV, UNIT 2101",50681320,1229
17805,"2181  JAMIESON AV, UNIT 2102",50681330,871
17806,"2181  JAMIESON AV, UNIT 2103",50681340,1977
17807,"2181  JAMIESON AV, UNIT 2105",50681350,781
17808,"2181  JAMIESON AV, UNIT 2106",50681360,1164
17809,"2181  JAMIESON AV, UNIT 2107",50681370,1088
17810,"2181  JAMIESON AV, UNIT 2109",50681380,1891
17811,"2181  JAMIESON AV, UNIT 2111",50681400,2005
17812,2191  JAMIESON AV,50679600,1778
17813,404  JANNEYS LA,50598180,4708
17814,406  JANNEYS LA,50598190,4050
17815,503  JANNEYS LA,17072000,2332
17816,505  JANNEYS LA,17072500,1388
17817,507  JANNEYS LA,17073000,1344
17818,507A  JANNEYS LA,50688010,0
17819,508  JANNEYS LA,17097500,3038
17820,509  JANNEYS LA,17073500,2226
17821,511  JANNEYS LA,17074000,2128
17822,512  JANNEYS LA,17097000,4156
17823,513  JANNEYS LA,17074500,2244
17824,514  JANNEYS LA,17087500,2742
17825,515  JANNEYS LA,17075000,1796
17826,517  JANNEYS LA,17075500,2617
17827,519  JANNEYS LA,17076000,2293
17828,521  JANNEYS LA,17076500,1888
17829,600  JANNEYS LA,17096000,4125
17830,603  JANNEYS LA,17121000,2552
17831,604  JANNEYS LA,17095500,0
17832,604A  JANNEYS LA,17096500,3148
17833,605  JANNEYS LA,17121500,2116
17834,607  JANNEYS LA,17122000,1584
17835,609  JANNEYS LA,17260500,1526
17836,611  JANNEYS LA,17261000,1292
17837,684  JANNEYS LA,17112500,2514
17838,690  JANNEYS LA,17113000,2192
17839,696  JANNEYS LA,17113500,2327
17840,703  JANNEYS LA,17271500,1154
17841,705  JANNEYS LA,17272000,1262
17842,707  JANNEYS LA,17272500,1468
17843,712  JANNEYS LA,17212000,2109
17844,714  JANNEYS LA,17205000,1819
17845,801  JANNEYS LA,50289400,1
17846,802  JANNEYS LA,17189500,1609
17847,803  JANNEYS LA,50289300,2649
17848,804  JANNEYS LA,17189000,1602
17849,806  JANNEYS LA,17188500,1715
17850,808  JANNEYS LA,17188000,1621
17851,810  JANNEYS LA,17187500,1821
17852,851  JANNEYS LA,17289100,1920
17853,900  JANNEYS LA,17164000,2071
17854,901  JANNEYS LA,17288500,2509
